title,href,image_url,publish_time,content,visit_num,comment_num,objid
大众I.D.系列将从电动赛车获取设计灵感,//www.autohome.com.cn/news/201806/918478.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g2/M09/1B/77/120x90_0_autohomecar__wKgHGVsd2I6AFH-DAAGMYGWf9F8005.jpg,34分钟前,[汽车之家 新闻]  日前，大众方面表示，旗下电动车系I.D.系列车型未来将会以I.D. R Pikes Peak赛车为设计灵感，一些设计元素或将出现...,477,2,918478
艾瑞泽GX/EXEED TX 奇瑞2018年新车计划,//www.autohome.com.cn/news/201806/918483.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g3/M04/1A/F8/120x90_0_autohomecar__ChcCRVsd2q-AZmh8AAGxJ9OMWNk178.jpg,41分钟前,[汽车之家 新闻]  日前，我们从官方了解到了奇瑞2018年部分新车计划，其中，艾瑞泽GX将于9月初正式上市，而奇瑞EXEED TX将于11月初正式上...,2749,15,918483
将于7月首发 新一代吉姆尼更多消息,//www.autohome.com.cn/news/201806/918484.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g1/M01/1C/0E/120x90_0_autohomecar__ChcCQ1sd1MmAQ9KzAAHS_XqgypM095.jpg,41分钟前,[汽车之家 新闻]　日前，铃木全新一代吉姆尼的宣传彩页再度曝光，图片显示该车将于7月份首度亮相。而据铃木经销商朝日汽车（Asahi Motors）的进...,6124,39,918484
大众将通过量子力学技术开发电池产品,//www.autohome.com.cn/news/201806/918474.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g3/M08/1A/91/120x90_0_autohomecar__wKgHGlsd10WAPXvkAAFgp_X0X5c771.jpg,1小时前,[汽车之家 新闻]  日前据外媒报道，大众汽车计划开始利用量子力学计算技术来进行新能源汽车高性能电池的开发，包括使用量子超级计算机来模拟锂氢和碳链等新...,586,10,918474
名为SpaceX 特斯拉新Roadster增选装包,//www.autohome.com.cn/news/201806/918471.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g3/M09/1D/5C/120x90_0_autohomecar__wKgHF1sdzMCAcqR3AAF5k7DTop4335.jpg,1小时前,[汽车之家 新闻]  提到特斯拉的首款产品，很多人会脱口而出Model S，实际上在这之前特斯拉还生产过名为Roadster的纯电动敞篷跑车。近期，官...,3997,35,918471
宁德时代今日敲钟上市 开盘大涨32%,//www.autohome.com.cn/news/201806/918470.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g3/M0A/1A/09/120x90_0_autohomecar__wKgHGlsdzMeAZgQXAAHa00Mpj8c852.jpg,1小时前,[汽车之家 新闻]  宁德时代今日在深交所敲钟上市，股票代码300750。开盘大涨32.02%，报33.19元，总市值达721.03亿元。宁德时代首次...,3507,8,918470
预售14.2-19.8万 领克02将6月28日上市,//www.autohome.com.cn/news/201806/918472.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g3/M05/1A/7A/120x90_0_autohomecar__ChcCRVsd0WuAFuZXAAEKCcanaC8559.jpg,1小时前,[汽车之家 新闻]  此前我们报道过，领克02将推出纯/耀/劲三个系列车型，其预售价格区间为14.2-19.8万元。而近日，其官方宣布，领克02将于今...,1.4万,74,918472
强大的复兴之路 FCA未来五年新车盘点,//www.autohome.com.cn/news/201806/918417.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g2/M09/07/15/120x90_0_autohomecar__wKgHFlsbYxqAGHJ6AAETA-Q1tUM980.jpg,4小时前,[汽车之家 新闻]  不久前，菲亚特克莱斯勒集团（简称FCA）官方发布了未来五年的车型计划。从Jeep品牌全面电气化的决心到阿尔法·罗密欧G...,2.1万,95,918417
与Coupe版同期发布？宝马8系敞篷版谍照,//www.autohome.com.cn/news/201806/918466.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g1/M0A/19/9E/120x90_0_autohomecar__wKgHGFsdQ2eAY6uKAAHOfUuRfyA802.jpg,5小时前,[汽车之家 海外谍照]  日前，有海外媒体曝光了一组全新宝马8系敞篷版谍照，新车依旧是宝马家族式风格，车身采用软顶敞篷机构。根据此前消息，6月15日，...,1.8万,56,918466
深评：插混被“踢”背后是怎样的博弈?,//www.autohome.com.cn/news/201806/918448.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g3/M0B/15/D9/120x90_0_autohomecar__wKgHGlsdBveAbhr8AAFW4Ieqlds903.jpg,5小时前,[汽车之家 深评]  近日，国家发改委《汽车产业投资管理规定（征求意见稿）》曝光，其中插电式混动乘用车投资类别被归为传统燃油车一类。插电式混动为何突然...,5.2万,311,918448
